题名,楼主,时间,点击量,回复数,大五人格分类
一般情况下肺痛是不是就一定是肺炎？,X娃娃Lv 5,14:38:12,241,7, 尽责性
广州病毒是禽流感变种!!![已扎口],1,13:50:42,268,3, 神经质
广州不明病毒最新情况(转载)[已扎口],2,21:09:25,5360,12, 开放性
广州军区广州总院呼吸科主任黄文杰博士现场访谈（GZNET）(转载),3,23:41:36,5396,4, 开放性
非典型肺炎会出现什么样的症状,寂寞寒谷Lv 6,12:20:35,156,1, 开放性
"[寻医问药]听说广州那里发生了特大型的感冒,好像是肺炎还是鼠疫什么的,是吗?",泊心柳Lv 4,17:34:53,174,1, 开放性
以讹传讹猛于病毒 广东流行病谣言发展历程(转载),nghoLv 9,21:47:05,363,7, 开放性
邢老谈非典型肺炎！（没有中西医争论了吧？）,蓝色海之南Lv 6,15:42:30,840,26, 开放性
广州副市长陈传誉：非典型肺炎未完全遏制(转载),正音Lv 4,11:35:12,134,0, 尽责性
广州的肺炎病例还有增加，政府宣传不可信！！,蜀山之神Lv 4,14:35:22,784,25, 神经质
"“达菲”涉嫌造谣牟利 广东省公安厅已布置调查(转载)
",古墓厉影Lv 0,13:43:41,625,45, 尽责性
有开药店的朋友吗？？？？？？？？？,深圳红小兵Lv 7,18:58:11,118,1, 外向性
大家看看什么是“非典型性肺炎“,小陈飞一把菜刀Lv 8,13:33:51,423,7, 开放性
非典型肺炎个案仍在迅增(转载),开心布丁Lv 6,11:58:20,550,15, 开放性
"太可怕了，香港多名医护人员感染非典型性肺炎
",ballerinaLv 1,18:40:48,1894,22, 神经质
非典型肺炎是怎样的症状？,彩笺Lv 11,13:08:52,173,2, 开放性
"[公告]关于非典型肺炎,请勿转载非官方信息",robin1123Lv 13,14:56:29,203,0, 尽责性
"肺部求诊
",死而有憾Lv 7,9:44:47,122,4, 尽责性
"关于肺炎的香港与台湾消息（不违规，请勿删除）(转载)
",zhang3Lv 6,21:57:25,704,1, 开放性
"[寻医问药]惨！这下可能挂了……
",gzsumsLv 8,23:48:01,370,32, 神经质
